CV_number;CV_text_brut
CV_1;SELMA LAFKIR CORDE 80 CODEUSE ENTHOUSIASTE PROFIL PERSONNEL Je suis étudiante au lycée Condorcet. Je code depuis l'âge de 13 ans et j'aime créer des sites Web et utiliser la technologie pour aider les gens. RÉALISATIONS Chef d'équipe du site Web du lycée - Vice-présidente du club cinématographique du lycée - Trésorière de la société des codeurs du lycée - Premier prix au Hackathon de Condorcet EXPÉRIENCE Tuteur en mathématiques Centre scolaire de Condorcet Jan 2019 - présent • Cours particuliers avec des élèves du secondaire sur différents domaines des mathématiques • Cours d'algèbre Développeuse stagiaire | Berou Solutions, Inc. mars - mai 2019 Traduction de wireframes en code frontal Aide à la création d'une application de commande en ligne Recherche d'utilisateurs effectuée par le biais d'enquêtes et d'entretiens PARCOURS SCOLAIRE Lycée de Condorcet · Spécialisation en technologie | Classe de 2020 • Diplômée avec une moyenne de 16/20 • Membre de l'association des étudiants en histoire Excellence académique en histoire, mathématiques et multimédia durant 2 années consécutives RÉFÉRENCES Marion Bardot | Professeure, lycée de Condorcet Caroline Clément | Professeure, lycée Beaulieu Myriam Barbu | Directrice, Centre scolaire de Condorcet 01 12 13 14 15 bonjour@sitevraimentsuper.fr www.sitevraimentsuper.fr
CV_2;"Ananya Singh 
Professeure de Lycée
PROFIL PERSONNEL
Je suis une éducatrice expérimentée et dévouée qui se concentre sur le soutien du développement holistique des étudiants pour leur permettre d'atteindre leur potentiel.
LANGUES ET COMPÉTENCES
• Parle couramment l'anglais, le Hindi et le Tamoul • Très bonne communication à l'oral et à l'écrit • Experte en organisation et gestion de cours
RÉALISATIONS
• Élaboration d'un programme de soutien par les pairs pour les aînés, améliorant le taux d'obtention de diplôme de 10 % • Création du programme de préparation au collège pour les étudiants juniors et seniors
PARCOURS SCOLAIRE
EXPÉRIENCE EN ENSEIGNEMENT
Université de Condorcet
Professeure de lycée
MASTER EN ÉDUCATION, 2014
ÉCOLE SECONDAIRE DE CONDORCET 2014 - À PRÉSENT
• Diplômée avec Mention • Candidate à la meilleure thèse pour « Stratégies de regroupement étudiant-enseignant pour la préparation aux études postsecondaires »
• Responsable, Programme de préparation au collège, 2018 - Présent • Directrice adjointe, Département d'études sociales, 2014 - Aujourd'hui • Conseillère, Club Oratoire, 2014 - 2016
Institut de Condorcet
Professeure de lycée INSTITUT DE CONDORCET 2012 - 2014
LICENCE EN ÉDUCATION, 2011 • Diplômée avec une moyenne générale de 18/20 • Thèse : ""Étude de l'apprentissage en ligne"" • Tutrice et cours particuliers
• Professeure de sciences sociales, 2012 - 2014 • Professeur, Anglais et littérature, 2012 - 2013 • Tutrice, Association des sciences sociales, 2012 - 2013
INFORMATIONS DE CONTACT
10, rue d'Alésia 75014 Paris, France
E-mail : bonjour@sitevraimentsuper.fr
Téléphone Fixe : 01 45 66 77 89 Téléphone Professionnel : 01 45 66 77 88
m"
CV_3;"Samira Hadid 
16 place Urbain II, 63000 Clermont-Ferrand, 04-73-25-68-89 bonjour@canvasupersite.fr www.canvasupersite.fr @canvasupersite.fr
Directrice marketing axée sur les résultats avec plus de 10 ans d'expérience grâce à des solutions marketing efficaces pour stimuler la croissance des ventes et renforcer l'équité de la marque auprès des clients. Planification et supervision de la stratégie marketing globale sur diverses plateformes. Spécialiste en mise en cuvre et gestion de projet
Formation Scolaire
Expérience Professionnelle
Directrice du marketing Agence Stratégie Numérique de mai 2018 à aujourd'hui Supervision des stratégies de marketing numérique et gestion des opérations quotidiennes de l'agence
Université ParisDauphine Paris Master en communication marketing intégrée 2021 Major de promotion Prix du meilleur mémoire de master Université d'Angers Angers Licence de gestion marketing 2014 Major de promotion Tableau d'honneur
Directrice des réseaux sociaux Cosmétiques Mine éclatante de décembre 2016 à mai 2018 Collecte et analyse de données pour les produits. Gestion des comptes officiels pour l'entreprise sur les réseaux sociaux.
Responsable de l'équipe de marketing numérique Stylos, Papier et Cie. de juillet 2014 à novembre 2016 Planification et mise en œuvre de stratégies de marketing numérique qui ont augmenté le trafic organique du site de 150 %.
Compétences et savoir-faire
Bénévolat et homologation
Directrice du marketing numérique
• Marketing sur les réseaux sociaux • Compétences en communication
interpersonnelle • Parle couramment l'arabe et bonne
connaissance de l'anglais
Fondation pour les enfants de Condorcet de janvier 2016 à août 2019 Participation bénévole à la gestion des comptes sur les réseaux sociaux et réalisation
Conduite de ses efforts de marketing numérique. BTS de contenu et de marketing par e-mail École de marketing de Condorcet mars 2015 Programme en ligne pour renforcer mes compétences en création de contenu et marketing."
CV_4;"Carine Maurice 
Ingénieure logiciel avec 10 ans d'expérience en applications professionnelles. Soucieuse de rejoindre l'entreprise Tech et Cie, pour construire des solutions prêtes à l'emploi pour ses clients régionaux. Qualifiée en élaboration de plans d'action gestion de projets et guide d'utilisation.
EXPÉRIENCE PROFESSIONNELLE
22, rue du Faubourg Saint Honoré 75008 Paris, 01 40 45 65 89 bonjour@canvasupersite.fr www.canvasupersite.fr @canvasupersite.fr
Ingénieure logiciel expérimentée Agence de développement de logiciels Numérix d'août 2017 à aujourd'hui Supervise le développement des applications. Recherche et développement de nouvelles façons d'améliorer le processus de développement. Formation des ingénieurs logiciel débutants.
Ingénieure logiciel débutante Agence de développement de logiciels Numérix de juin 2011 à juin 2017 Développement, installation et configuration des applications internes et de nouvelles applications dans les environnements de test et de production.
COMPÉTENCES
• Java, HTML, CSS, jQuery, PHP,
serveur SQL • Travail d'équipe, polyvalence et
attention particulière aux détails • Développement de logiciels et de
sites
Stage en génie logiciel chez Solutions Bertrand de septembre 2010 à mars 2011 Achèvement d'un stage de six mois pour l'obtention du Master. Développement d'un système d'informations pour les ressources humaines basé sur le cloud, consolidation des informations concernant les employés provenant de diverses bases de données et serveurs.
LANGUES
FORMATION SCOLAIRE
• Français (langue maternelle) • Anglais américain (niveau B2) • Espagnol (niveau B1)
Master en génie logiciel de l'université de Lille, Lille | 2014 Chercheuse diplômée à l'Agence de développement de logiciels Numérix
Licence pro Métiers du génie logiciel, IUT Metz | 2011 Mention bien"
CV_5;"MARCELLE ANDRÉ EXPÉRIENCE PROFESSIONNELLE 
ASSOCIÉE AU MARKETING
Studios ZimCore, 2021 - Aujourd'hui
Associée au marketing
- A conceptualisé et exécuté avec succès des campagnes de marketing traditionnelles et numériques - A analysé des résultats d'études de marché - A créé un calendrier de marketing
SPÉCIALISTE MARKETING
Solutions Elkine, 2020 - 2021
- Recherche des préférences des consommateurs et des tendances marketing - Planification et mise en oeuvre des Stratégies marketing - Collaboration avec les équipes de création et de stratégie
PROFIL PERSONNEL
FORMATION UNIVERSITAIRE
Un agent de marketing professionnel et motivé, doté de nombreuses années d'expérience dans la mise en oeuvre de
stratégies et de campagnes publicitaires efficaces.
UNIVERSITÉ DE QUIMPER
Licence en Marketing, 2016-2020
- Récipiendaire du Prix de l'Excellence - Distinction honorifique du doyen - Gagnant du Prix du Meilleur étudiant en marketing 2019 - Membre du Club de l'entrepreneuriat
RÉALISATIONS
LYCÉE CONDORCET
Diplômée avec les honneurs, 2012-2016
- Récipiendaire du prix d'Excellence en marketing 2022 - Gagnant du prix de l'Employé créatif de ZimCore pour l'année 2021 - En vedette dans les « 100 meilleurs Gourous du Marketing » du magazine La Vie
- Excellence universitaire en anglais, histoire et mathématiques - Présidente du club des affaires de Condorcet - Membre du Conseil étudiant
COORDONNÉES :
COMPÉTENCES ET SAVOIR-FAIRE
Téléphone : 01 23 45 67 89 E-mail : bonjour @ sitevraimentsuper.fr
LinkedIn : @sitevraimentsuper.fr Site web : sitevraimentsuper.fr
12 rue Desaix, 75110 Paris
- Compétences en marketing - Compétences en rédaction - Compétences en développement de contenu - Gestion du temps et organisation - Compétences en communication et présentation"
CV_6;"Julien Baupin 
INGÉNIEUR LOGICIEL
PROFIL PERSONNEL
Diplômé de l'Institut de technologie et d'informatique, je suis spécialisé dans le débogage, la conception et les tests de logiciels. J'aime travailler en équipe et suis capable d'apprendre et d'appliquer rapidement de nouvelles technologies.
FORMATION
ACCOMPLISSEMENTS
Développement de logiciels ME École supérieure de Condorcet / 2018 - 2020 Développement de solutions logicielles pour le département d'ingénierie Reconnu pour la mise en oeuvre d'un nouveau processus de mise à jour qui a amélioré la charge de la base de données de l'école
Diplômé avec mention très bien Prix du volontariat Reconnu pour une présence assidue Premier prix à l'exposition annuelle de
programmation
Licence en Ingénierie informatique École technique de Condorcet / 2014 - 2018 Excellence académique Prix de l'innovation en technologie Prix du bénévolat pour l'exposition annuelle de l'école
COORDONNÉES
C
01 12 13 14 15 01 44 55 66 77
ACTIVITÉS EXTRASCOLAIRES
bonjour@sitevraimentsuper.fr
6, place Fernand Lafargue, 33000 Bordeaux
École technique de Condorcet Équipe de Debate / Club d'échecs / Guilde des jeunes développeurs
in
@sitevraimentsuper
Participation à des débats publiques sur des sujets généraux Développement d'une tactique de débat appliquée qui a aidé à mener l'équipe à la victoire Gestion d'événements pour la Guilde des jeunes développeurs
COMPÉTENCES ET QUALIFICATIONS
Bénévolat
Soupe populaire de la Guilde des jeunes développeurs / Vélo pour tous 2017
Raisonnement logique et résolution de problèmes Débogage de logiciels Programmation informatique Codage Bonne communication orale et écrite
• Service de repas aux sans-abris chaque week-end dans le cadre de la
soupe populaire organisée par la Guilde des jeunes développeurs • Enseignement du vélo aux enfants de la Fondation pour les Orphelins"
CV_7;BENJAMIN SÉVENO Travailleur social HISTORIQUE DE TRAVAIL Assistant juridique SERVICE D'ASSISTANCES AUX POPULATIONS DÉMUNIES, 2017-PRÉSENT Gestion des recherches et des recommandations d'actions en justice Organisation des dossiers nécessaires pour le tribunal Assistance aux avocats pour la préparation des procès et des audiences Stagiaire en travail social CENTRE DE SANTÉ SAINT-DENIS, SEPT. 2006-MARS 2007 Prise en charge psychologique individuelle des femmes et des enfants Création de programmes utilisant la thérapie par le jeu pour les enfants OBJECTIF DE CARRIÈRE Obtenir un poste à plein temps en tant que travailleur social dans une agence multiculturelle au service de minorités et de familles ou individus réfugiés. FORMATION UNIVERSITAIRE Université de Saint-Denis MASTER II ACTION SOCIALE MAI 2007 - Diplôme obtenu avec mention Très bien - Prix de mémoire de Master II : Psychologie du changement durable - Membre de la société pour les travailleurs sociaux et les entrepreneurs DIPLÔMES : Faculté de droit de l'Université de Grenoble (2009) Membre de l'association des travailleurs sociaux, Chapitre de Grenoble (2004) Université de Saint-Denis LICENCE EN PSYCHOLOGIE MAI 2001 Félicitations du jury Finaliste, meilleure Thèse : « La psychologie au service de l'interculturalisme » Membre de l'association Jeunes Leaders d'action sociale DIPLÔMES : INFORMATIONS DE CONTACT Téléphone : 01 23 56 67 89 E-mail : bs@sitesuper.fr LinkedIn : @sitevraimentsuper 12 rue de la Paix, 75110 Paris - Travailleur social agréé (Décembre 2008) - Membre de l'Association des travailleurs sociaux - Membre du groupe d'action sociale de Condorcet
CV_8;HANNAH MARNIER Prof de maths BIOGRAPHIE PROFESSIONNELLE EXPÉRIENCE PROFESSIONELLE Professeur de mathématiques en école primaire Académie du tutorat | février 2016 - présent • Je suis une enseignante d'école primaire qui se spécialise dans les mathématiques J'applique la méthode des intelligences multiples dans mes classes, et mon objectif est de rendre les mathématiques amusantes. 1. Développement de plans de leçon quotidienne et enseignement des enfants du CP au CE2 Remaniement du département de mathématiques sur la méthodologie d'apprentissage pour être plus interactif et engageant COMPÉTENCES ET SAVOIR-FAIRE Professeure et tutrice de mathématiques La revue des maths | octobre 2013 - janvier 2016 1. Gestion de classe 2. Enseignement de mathématiques 3. Modèle d'apprentissage pour intelligences multiples 4.Planification de leçon créatives 5. Évaluation des élèves 6. Surveillance d'examens 1. Enseignement de revues de groupe pour les classes des élèves de l'école primaire 2. Séances individuelles pour les sujets spécifiques 3. Contribution au contenu du manuel de La revue des maths PROFIL UNIVERSITAIRE CONTACTEZ-MOI Université de Vezoul Maîtrise en arts | mai 2013 - décembre 2015 • E-mail : bonjour@sitevraimentsuper.fr • Site : www.sitevraimentsuper.fr • LinkedIn: @sitevraimentsuper • Adresse : 12 rue Desaix, • 75000 Paris • Maîtrise en éducation • Spécialisation en enseignement pour le niveau primaire • Conception d'un programme accéléré de une année pour les étudiants en avance RÉFÉRENCES PERSONNELLES • Professeur Jacques De Faucompret, Université de l'enseignement • E-mail : bonjour@sitevraimentsuper.fr
CV_9;KINN Linda 21, rue du Soleil Levant 49100 ANGERS Portable : 06 74 80 96 43 E-mail : kinn.linda@yahoo.fr Née le 8 Juillet 1988 (28 ans) Permis B + véhicule Expériences professionnelles Déc. 2015 - Fév. 2016 Barmaid Criniti's, Restaurant italien, Australie Oct. 2015 - Déc. 2015 Serveuse en restauration The Flynn, Bar/Restaurant, Australie Sept. 2012 - Sept. 2014 Chef de secteur alimentaire Monoprix, Grande distribution, Paris Sept. 2011 - Sept. 2012 Chef de département alimentaire Monoprix, Grande distribution, Rennes Sept. 2010 - Sept. 2011 Assistante Manager Jofrati, Magasin de prêt-à-porter féminin, Angers Sept. 2009 - Sept. 2010 Assistante Manager Le Shantou, Restaurant traditionnel asiatique, Angers Août 2008 - Août 2009 Assistant Manager Subway Fleur d'Eau, Fast-food de sandwicherie, Angers Education 2012 - 2014 2011 - 2012 Master Marketing Commerce et Développement Groupe IGS, Paris Licence professionnelle DISTRISUP L'IUT Angers-Cholet, Angers BTS Management des Unités Commerciales Groupe Sacré-Coeur, 12SC, Angers 2009 - 2011 Compétences informatiques Compétences linguistiques World Excel Power Point Publisher Français Anglais Khmer Espagnol Loisirs Voyages, Musique, Cinéma, Sport
CV_10;DANY NGUYEN À LA RECHERCHE D'UN POSTE DANS LA DATA PROFIL FORMATION Après avoir passé mon BTS MUC et avoir travaillé plus de deux ans dans la vente, je poursuis ma carrière professionnelle en data science. De nature dynamique, curieuse, proactive et passionnée j'ai choisi de me reconvertir dans ce domaine pour faire une activité en phase avec ma personnalité. Jedha Bootcamp (2022) Certification RNCP niveau 6 (équivalent Bac +4) Licence : Concepteur/Développeur en science des données Akor Alternance (2017) BTS MUC (Management des Unités Commerciales) Lycée Blaise Cendrars (2015) Baccalauréat STMG spécialité mercatique EXPÉRIENCES PROFESSIONNELLES CONTACT Tel. 06.51.23.76.54 Villepinte, 93420 dany.nguyen1997@gmail.com Margeur La galiotte Prenant (94) | 2018 - Aujourd'hui Préparation des matières premières nécessaires à l'impression, planification de la production, entretien machine. INFORMATIQUE Vendeur Norauto Moisselles (95) I juil 2016-2018 Accueil et conseil, gestion des stocks, mise en rayon, élaboration de plan de financement et création de carte grise. Technicien Freelance One Park (75) I févr - juil 2016 Maintenance boîtiers et cartes MUX. - Langages : Python, SQL - Data analysis : Pandas, Numpy, Scipy, statsmodels - Data visualisation : Plotly, Matplotlib, Seaborn, Tableau, Excel, Power BI - Data collection and management : FastAPI, Beautiful Soup, Scrapy - Big Data : Spark, PySpark, Databricks - Machine learning : Sklearn, Tensorflow, Keras, spacy - Deployment: Streamlit, Docker, Heroku, MLFlow - Database: MySQL, PostgreSQL - Cloud : GCP, AWS - Other tools : VSCode, Jupyter Notebook and JupyterLab, Git and GitHub Employé libre service Auchan (93) 1 janv - juin 2016 Gestion des stocks, mise en rayon, conseil sur les produits. Vendeur Tim pièces auto (77) I sept 2015 - janv 2016 Accueil, conseil, livraison, gestion des stocks, édition factures et devis. CENTRES D'INTÉRÊT LANGUES - Français : Bilingue - Vietnamien : Langue natale - Anglais : Compétences professionnelles - Espagnol : Notions - Musique : piano et guitare (autodidacte) - Sport : free fight, jiu-jutsu brésilien, football - Jeux vidéo - Entreprenariat : e-commerce, trading
