CV_Sentences;Sentences_CV_clean;CV_Number;Sentence_line;Nb_tokens;%texte_lu;%texte_lu_fin_ligne;Is_alpha;Grammar;Tokenization;Verb_count;Propn_count;Noun_count;Num_count;Pourcentage_verb_sentence;Pourcentage_propn_sentence;Pourcentage_noun_sentence;Pourcentage_num_sentence;Label
SELMA LAFKIR CORDE 80 CODEUSE ENTHOUSIASTE;SELMA LAFKIR CORDE 80 CODEUSE ENTHOUSIASTE;CV_1;0;6;2.8;97.2;[True, True, True, False, True, True];['NOUN', 'PROPN', 'VERB', 'NUM', 'PROPN', 'PROPN'];SELMA LAFKIR CORDE 80 CODEUSE ENTHOUSIASTE;1;3;1;1;0.16666666666666666;0.5;0.16666666666666666;0.16666666666666666;1
PROFIL;PROFIL;CV_1;1;1;3.27;96.73;[True];['NOUN'];PROFIL;0;0;1;0;0.0;0.0;1.0;0.0;0
PERSONNEL Je suis étudiante au lycée Condorcet.;PERSONNEL Je suis étudiante au lycée Condorcet.;CV_1;2;8;7.01;92.99;[True, True, True, True, True, True, True, False];['NOUN', 'PRON', 'AUX', 'ADJ', 'ADP', 'NOUN', 'PROPN', 'PUNCT'];PERSONNEL Je suis étudiante au lycée Condorcet.;0;1;2;0;0.0;0.125;0.25;0.0;0
Je code depuis l'âge de 13 ans et j'aime créer des sites Web et utiliser la technologie pour aider les gens.;Je code depuis l'âge de 13 ans et j'aime créer des sites Web et utiliser la technologie pour aider les gens.;CV_1;3;24;18.22;81.78;[True, True, True, False, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, False];['PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NUM', 'NOUN', 'CCONJ', 'PRON', 'VERB', 'VERB', 'DET', 'NOUN', 'PROPN', 'CCONJ', 'VERB', 'DET', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'PUNCT'];Je code depuis l'âge de 13 ans et j'aime créer des sites Web et utiliser la technologie pour aider les gens.;5;1;5;1;0.20833333333333334;0.041666666666666664;0.20833333333333334;0.041666666666666664;0
RÉALISATIONS;RÉALISATIONS;CV_1;4;1;18.69;81.31;[True];['NOUN'];RÉALISATIONS;0;0;1;0;0.0;0.0;1.0;0.0;0
Chef d'équipe du site Web du lycée;Chef d'équipe du site Web du lycée;CV_1;5;8;22.43;77.57;[True, False, True, True, True, True, True, True];['NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN'];Chef d'équipe du site Web du lycée;0;0;5;0;0.0;0.0;0.625;0.0;0
-;-;CV_1;6;1;22.9;77.1;[False];['PUNCT'];-;0;0;0;0;0.0;0.0;0.0;0.0;0
Vice-présidente du club cinématographique du lycée;Vice-présidente du club cinématographique du lycée;CV_1;7;6;25.7;74.3;[False, True, True, True, True, True];['NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN'];Vice-présidente du club cinématographique du lycée;0;0;3;0;0.0;0.0;0.5;0.0;0
- Trésorière de la société des codeurs du lycée -;- Trésorière de la société des codeurs du lycée -;CV_1;8;10;30.37;69.63;[False, True, True, True, True, True, True, True, True, False];['PUNCT', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN'];- Trésorière de la société des codeurs du lycée -;0;0;5;0;0.0;0.0;0.5;0.0;0
Premier prix au Hackathon de Condorcet EXPÉRIENCE Tuteur en mathématiques;Premier prix au Hackathon de Condorcet EXPÉRIENCE Tuteur en mathématiques;CV_1;9;10;35.05;64.95;[True, True, True, True, True, True, True, True, True, True];['ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'NOUN', 'NOUN', 'ADP', 'NOUN'];Premier prix au Hackathon de Condorcet EXPÉRIENCE Tuteur en mathématiques;0;1;5;0;0.0;0.1;0.5;0.0;0
Centre scolaire de Condorcet Jan 2019;Centre scolaire de Condorcet Jan 2019;CV_1;10;6;37.85;62.15;[True, True, True, True, True, False];['NOUN', 'ADJ', 'ADP', 'PROPN', 'PROPN', 'NUM'];Centre scolaire de Condorcet Jan 2019;0;2;1;1;0.0;0.3333333333333333;0.16666666666666666;0.16666666666666666;0
- présent • Cours particuliers avec des élèves du secondaire sur différents domaines des mathématiques • Cours d'algèbre Développeuse stagiaire;- présent • Cours particuliers avec des élèves du secondaire sur différents domaines des mathématiques • Cours d'algèbre Développeuse stagiaire;CV_1;11;21;47.66;52.34;[False, True, False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, False, True, True, True];['PUNCT', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'NOUN'];- présent • Cours particuliers avec des élèves du secondaire sur différents domaines des mathématiques • Cours d'algèbre Développeuse stagiaire;0;1;9;0;0.0;0.047619047619047616;0.42857142857142855;0.0;0
| Berou Solutions, Inc.;| Berou Solutions, Inc.;CV_1;12;6;50.47;49.53;[False, True, True, False, True, False];['PUNCT', 'PROPN', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT'];| Berou Solutions, Inc.;0;2;1;0;0.0;0.3333333333333333;0.16666666666666666;0.0;0
mars;mars;CV_1;13;1;50.93;49.07;[True];['NOUN'];mars;0;0;1;0;0.0;0.0;1.0;0.0;0
- mai 2019 Traduction de wireframes en code frontal Aide à la création d'une application de commande en ligne Recherche d'utilisateurs effectuée par le biais d'enquêtes et d'entretiens PARCOURS SCOLAIRE;- mai 2019 Traduction de wireframes en code frontal Aide à la création d'une application de commande en ligne Recherche d'utilisateurs effectuée par le biais d'enquêtes et d'entretiens PARCOURS SCOLAIRE;CV_1;14;34;66.82;33.18;[False, True, False, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, False, True, True, True, True, True, False, True, True, False, True, True, True];['PUNCT', 'NOUN', 'NUM', 'PROPN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADP', 'NOUN', 'ADP', 'NOUN'];- mai 2019 Traduction de wireframes en code frontal Aide à la création d'une application de commande en ligne Recherche d'utilisateurs effectuée par le biais d'enquêtes et d'entretiens PARCOURS SCOLAIRE;1;1;14;1;0.029411764705882353;0.029411764705882353;0.4117647058823529;0.029411764705882353;0
Lycée de Condorcet;Lycée de Condorcet;CV_1;15;3;68.22;31.78;[True, True, True];['NOUN', 'ADP', 'PROPN'];Lycée de Condorcet;0;1;1;0;0.0;0.3333333333333333;0.3333333333333333;0.0;0
· Spécialisation en technologie;· Spécialisation en technologie;CV_1;16;4;70.09;29.91;[False, True, True, True];['ADJ', 'NOUN', 'ADP', 'NOUN'];· Spécialisation en technologie;0;0;2;0;0.0;0.0;0.5;0.0;0
| Classe de 2020 •;| Classe de 2020 •;CV_1;17;5;72.43;27.57;[False, True, True, False, False];['PUNCT', 'NOUN', 'ADP', 'PRON', 'ADP'];| Classe de 2020 •;0;0;1;0;0.0;0.0;0.2;0.0;0
Diplômée avec une moyenne de 16/20 • Membre de l'association des étudiants en histoire;Diplômée avec une moyenne de 16/20 • Membre de l'association des étudiants en histoire;CV_1;18;15;79.44;20.56;[True, True, True, True, True, False, False, True, True, False, True, True, True, True, True];['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN'];Diplômée avec une moyenne de 16/20 • Membre de l'association des étudiants en histoire;0;0;7;0;0.0;0.0;0.4666666666666667;0.0;0
Excellence académique en histoire, mathématiques et multimédia durant 2 années consécutives RÉFÉRENCES;Excellence académique en histoire, mathématiques et multimédia durant 2 années consécutives RÉFÉRENCES;CV_1;19;13;85.51;14.49;[True, True, True, True, False, True, True, True, True, False, True, True, True];['NOUN', 'ADJ', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'PROPN', 'ADP', 'NUM', 'NOUN', 'ADJ', 'NOUN'];Excellence académique en histoire, mathématiques et multimédia durant 2 années consécutives RÉFÉRENCES;0;1;5;1;0.0;0.07692307692307693;0.38461538461538464;0.07692307692307693;0
Marion Bardot;Marion Bardot;CV_1;20;2;86.45;13.55;[True, True];['PROPN', 'PROPN'];Marion Bardot;0;2;0;0;0.0;1.0;0.0;0.0;0
| Professeure, lycée de Condorcet Caroline Clément | Professeure, lycée Beaulieu Myriam Barbu;| Professeure, lycée de Condorcet Caroline Clément | Professeure, lycée Beaulieu Myriam Barbu;CV_1;21;15;93.46;6.54;[False, True, False, True, True, True, True, True, False, True, False, True, True, True, True];['ADP', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'PROPN', 'PROPN', 'PROPN'];| Professeure, lycée de Condorcet Caroline Clément | Professeure, lycée Beaulieu Myriam Barbu;0;6;4;0;0.0;0.4;0.26666666666666666;0.0;0
| Directrice, Centre scolaire de Condorcet;| Directrice, Centre scolaire de Condorcet;CV_1;22;7;96.73;3.27;[False, True, False, True, True, True, True];['ADP', 'PROPN', 'PUNCT', 'NOUN', 'ADJ', 'ADP', 'PROPN'];| Directrice, Centre scolaire de Condorcet;0;2;1;0;0.0;0.2857142857142857;0.14285714285714285;0.0;0
01 12 13 14 15;01 12 13 14 15;CV_1;23;5;99.07;0.93;[False, False, False, False, False];['NOUN', 'DET', 'DET', 'DET', 'DET'];01 12 13 14 15;0;0;1;0;0.0;0.0;0.2;0.0;0
bonjour@sitevraimentsuper.fr;bonjour@sitevraimentsuper.fr;CV_1;24;1;99.53;0.47;[False];['NOUN'];bonjour@sitevraimentsuper.fr;0;0;1;0;0.0;0.0;1.0;0.0;0
www.sitevraimentsuper.fr;www.sitevraimentsuper.fr;CV_1;25;1;100.0;0.0;[False];['PROPN'];www.sitevraimentsuper.fr;0;1;0;0;0.0;1.0;0.0;0.0;0
Ananya Singh  Professeure de Lycée;Ananya Singh  Professeure de Lycée;CV_2;0;6;2.06;97.94;[True, True, False, True, True, True];['PROPN', 'PROPN', 'SPACE', 'NOUN', 'ADP', 'NOUN'];Ananya Singh  Professeure de Lycée;0;2;2;0;0.0;0.3333333333333333;0.3333333333333333;0.0;1
PROFIL;PROFIL;CV_2;1;1;2.41;97.59;[True];['NOUN'];PROFIL;0;0;1;0;0.0;0.0;1.0;0.0;0
